Image,Pitchers
7_15_19.Control.p008,17
7_15_19.Control.f10204046,11
7_15_19.Control.f211004,5
7_15_19.Control.f210275,9
7_15_19.Control.f210134,13
7_15_19.Control.f102-04050,13
7_15_19.Control.f102-04028,14
7_15_19.Control.f1bcr11075,8
7_15_19.Control.f1bcr11043,7
7_15_19.Control.f1bcr11040,10
7_15_19.Control.f1bcp11020,13
7_15_19.Control.f1bcp11019,15
7_15_19.Control.f1bcp11015,17
7_15_19.CalMag.r010,10
7_15_19.CalMag.r003,9
7_15_19.CalMag.r002,7
7_15_19.CalMag.p007,1
7_15_19.CalMag.p004,31
7_15_19.CalMag.p003,23
7_15_19.CalMag.f102-04033,20
7_15_19.CalMag.f102-04006,15
7_15_19.CalMag.f102-04005,21
7_15_19.CalMag.f1bcr11033,17
7_15_19.CalMag.f1bcr11029,7
7_15_19.CalMag.f1bcr11013,14
7_15_19.CalMag.f1bcp11004,6
7_15_19.CalMag.f1bcp11002,23
7_15_19.CalMag.f1bcp11001,0
7_15_19.10_30_20.r007,8
7_15_19.10_30_20.r005,9
7_15_19.10_30_20.r004,8
7_15_19.10_30_20.p006,31
7_15_19.10_30_20.p005,28
7_15_19.10_30_20.p001,30
7_15_19.10_30_20.f210239,11
7_15_19.10_30_20.f102-04049,21
7_15_19.10_30_20.f102-04043,18
7_15_19.10_30_20.f102-04003,12
7_15_19.10_30_20.f1bcr11068,10
7_15_19.10_30_20.f1bcr11016,7
7_15_19.10_30_20.f1bcp11021,20
7_15_19.10_30_20.f1bcp11018,30
7_15_19.10_30_20.f1bcp11011,22
6_14_19.10_30_20.f20152,12
6_14_19.10_30_20.f210168,5
5_15_19.CalMag.f1bcp11001,0
8_19_19.CalMag.f1bcp11002,26
1_14_19.CalMag.f209003,2
1_14_19.CalMag.f211010,14
1_14_19.CalMag.f212002,9
5_15_19.CalMag.p007,16
6_14_19.CalMag.p007,4
7_15_19.CalMag.p007,2
8_19_19.CalMag.p007,0
