,Image,Hex,R,G,B,H,S,V,Freq,Prop
0,1_14_19.10_30_20.p001.masked,#715020,0.44313725490196076,0.3137254901960784,0.12549019607843137,0.09876543209876543,0.7168141592920354,0.44313725490196076,52527,0.10546467946182435
1,1_14_19.10_30_20.p001.masked,#512f12,0.3176470588235294,0.1843137254901961,0.07058823529411765,0.07671957671957673,0.7777777777777778,0.3176470588235294,67768,0.13606584038244926
2,1_14_19.10_30_20.p001.masked,#383311,0.2196078431372549,0.2,0.06666666666666667,0.1452991452991453,0.6964285714285715,0.2196078431372549,75043,0.1506727195700056
3,1_14_19.10_30_20.p001.masked,#594c21,0.34901960784313724,0.2980392156862745,0.12941176470588237,0.1279761904761905,0.6292134831460674,0.34901960784313724,80637,0.16190445595147504
4,1_14_19.10_30_20.p001.masked,#8d8874,0.5529411764705883,0.5333333333333333,0.4549019607843137,0.13333333333333328,0.17730496453900715,0.5529411764705883,9903,0.019883426061081854
5,1_14_19.10_30_20.p001.masked,#444a0f,0.26666666666666666,0.2901960784313726,0.058823529411764705,0.18361581920903958,0.7972972972972973,0.2901960784313726,61921,0.1243261259343885
6,1_14_19.10_30_20.p001.masked,#7c6a34,0.48627450980392156,0.41568627450980394,0.20392156862745098,0.12500000000000003,0.5806451612903226,0.48627450980392156,45399,0.09115294958568666
7,1_14_19.10_30_20.p001.masked,#a19642,0.6313725490196078,0.5882352941176471,0.25882352941176473,0.1473684210526316,0.5900621118012421,0.6313725490196078,25347,0.050892174126046824
8,1_14_19.10_30_20.p001.masked,#271c08,0.15294117647058825,0.10980392156862745,0.03137254901960784,0.10752688172043008,0.7948717948717949,0.15294117647058825,79508,0.1596376289270419
